dteday,workingday,weather,casual,registered
2011-07-09,0,2,1988,3348
2011-07-10,0,1,1743,3138
2011-07-11,1,1,723,3363
2011-07-12,1,1,662,3596
2011-07-13,1,1,748,3594
2011-07-14,1,1,888,4196
2011-07-15,1,1,1318,4220
2011-07-16,0,1,2418,3505
2011-07-17,0,1,2006,3296
2011-07-18,1,1,841,3617
2011-07-19,1,1,752,3789
2011-07-20,1,1,644,3688
2011-07-21,1,2,632,3152
2011-07-22,1,1,562,2825
2011-07-23,0,1,987,2298
2011-07-24,0,1,1050,2556
2011-07-25,1,2,568,3272
2011-07-26,1,1,750,3840
2011-07-27,1,2,755,3901
2011-07-28,1,1,606,3784
2011-07-29,1,1,670,3176
2011-07-30,0,1,1559,2916
2011-07-31,0,1,1524,2778
2011-08-01,1,1,729,3537
2011-08-02,1,1,801,4044
2011-08-03,1,2,467,3107
2011-08-04,1,2,799,3777
2011-08-05,1,1,1023,3843
2011-08-06,0,1,1521,2773
2011-08-07,0,2,1298,2487
2011-08-08,1,1,846,3480
2011-08-09,1,1,907,3695
2011-08-10,1,1,884,3896
2011-08-11,1,1,812,3980
2011-08-12,1,1,1051,3854
2011-08-13,0,1,1504,2646
2011-08-14,0,3,1338,2482
2011-08-15,1,3,775,3563
2011-08-16,1,1,721,4004
2011-08-17,1,1,668,4026
2011-08-18,1,1,639,3166
2011-08-19,1,3,797,3356
2011-08-20,0,1,1914,3277
2011-08-21,0,1,1249,2624
2011-08-22,1,1,833,3925
2011-08-23,1,1,1281,4614
2011-08-24,1,1,949,4181
2011-08-25,1,1,435,3107
2011-08-26,1,1,768,3893
2011-08-27,0,1,226,889
2011-08-28,0,3,1415,2919
2011-08-29,1,1,729,3905
2011-08-30,1,1,775,4429
2011-08-31,1,1,688,4370
2011-09-01,1,1,783,4332
2011-09-02,1,1,875,3852
2011-09-03,0,2,1935,2549
2011-09-04,0,1,2521,2419
2011-09-05,0,2,1236,2115
2011-09-06,1,3,204,2506
2011-09-07,1,2,118,1878
2011-09-08,1,3,153,1689
2011-09-09,1,3,417,3127
2011-09-10,0,1,1750,3595
2011-09-11,0,1,1633,3413
2011-09-12,1,1,690,4023
2011-09-13,1,1,701,4062
2011-09-14,1,1,647,4138
2011-09-15,1,1,428,3231
2011-09-16,1,1,742,4018
2011-09-17,0,1,1434,3077
2011-09-18,0,1,1353,2921
2011-09-19,1,2,691,3848
2011-09-20,1,2,438,3203
2011-09-21,1,1,539,3813
2011-09-22,1,1,555,4240
2011-09-23,1,2,258,2137
2011-09-24,0,1,1776,3647
2011-09-25,0,2,1544,3466
2011-09-26,1,2,684,3946
2011-09-27,1,1,477,3643
2011-09-28,1,1,480,3427
2011-09-29,1,1,653,4186
2011-09-30,1,1,830,4372
2011-10-01,0,1,480,1949
2011-10-02,0,3,616,2302
2011-10-03,1,1,330,3240
2011-10-04,1,2,486,3970
2011-10-05,1,1,559,4267
2011-10-06,1,1,639,4126
2011-10-07,1,1,949,4036
2011-10-08,0,1,2235,3174
2011-10-09,0,1,2397,3114
2011-10-10,0,1,1514,3603
2011-10-11,1,2,667,3896
2011-10-12,1,2,217,2199
2011-10-13,1,2,290,2623
2011-10-14,1,1,529,3115
2011-10-15,0,1,1899,3318
2011-10-16,0,1,1748,3293
2011-10-17,1,1,713,3857
2011-10-18,1,1,637,4111
2011-10-19,1,2,254,2170
2011-10-20,1,1,471,3724
2011-10-21,1,1,676,3628
2011-10-22,0,1,1499,2809
2011-10-23,0,1,1619,2762
2011-10-24,1,1,699,3488
2011-10-25,1,1,695,3992
2011-10-26,1,1,404,3490
2011-10-27,1,1,240,2419
2011-10-28,1,1,456,3291
2011-10-29,0,3,57,570
2011-10-30,0,1,885,2446
2011-10-31,1,1,362,3307
2011-11-01,1,2,410,3658
2011-11-02,1,1,370,3816
2011-11-03,1,1,318,3656
2011-11-04,1,2,470,3576
2011-11-05,0,1,1156,2770
2011-11-06,0,1,952,2697
2011-11-07,1,1,373,3662
2011-11-08,1,1,376,3829
2011-11-09,1,1,305,3804
2011-11-10,1,1,190,2743
2011-11-11,0,1,440,2928
2011-11-12,0,1,1275,2792
2011-11-13,0,2,1004,2713
2011-11-14,1,1,595,3891
2011-11-15,1,1,449,3746
2011-11-16,1,2,145,1672
2011-11-17,1,2,139,2914
2011-11-18,1,1,245,3147
2011-11-19,0,1,943,2720
2011-11-20,0,1,787,2733
2011-11-21,1,2,220,2545
2011-11-22,1,3,69,1538
2011-11-23,1,2,112,2454
2011-11-24,0,1,560,935
2011-11-25,1,1,1095,1697
2011-11-26,0,1,1249,1819
2011-11-27,0,1,810,2261
2011-11-28,1,1,253,3614
2011-11-29,1,1,96,2818
2011-11-30,1,1,188,3425
2011-12-01,1,1,182,3545
2011-12-02,1,1,268,3672
2011-12-03,0,1,706,2908
2011-12-04,0,1,634,2851
2011-12-05,1,1,233,3578
2011-12-06,1,2,126,2468
2011-12-07,1,1,50,655
2011-12-08,1,2,150,3172
2011-12-09,1,1,261,3359
2011-12-10,0,2,502,2688
2011-12-11,0,1,377,2366
2011-12-12,1,1,143,3167
2011-12-13,1,1,155,3368
2011-12-14,1,1,178,3562
2011-12-15,1,1,181,3528
2011-12-16,1,1,178,3399
2011-12-17,0,1,275,2464
2011-12-18,0,1,220,2211
2011-12-19,1,1,260,3143
2011-12-20,1,1,216,3534
2011-12-21,1,2,107,2553
2011-12-22,1,2,227,2841
2011-12-23,1,3,163,2046
2011-12-24,0,2,155,856
2011-12-25,0,1,303,451
2011-12-26,0,1,430,887
2011-12-27,1,1,103,1059
2011-12-28,1,1,255,2047
2011-12-29,1,2,254,2169
2011-12-30,1,1,491,2508
2011-12-31,0,2,665,1820
2012-01-01,0,1,686,1608
2012-01-02,0,1,244,1707
2012-01-03,1,1,89,2147
2012-01-04,1,1,95,2273
2012-01-05,1,2,140,3132
2012-01-06,1,1,307,3791
2012-01-07,0,1,1070,3451
2012-01-08,0,1,599,2826
2012-01-09,1,1,106,2270
2012-01-10,1,2,173,3425
2012-01-11,1,1,92,2085
2012-01-12,1,3,269,3828
2012-01-13,1,2,174,3040
2012-01-14,0,1,333,2160
2012-01-15,0,1,284,2027
2012-01-16,0,1,217,2081
2012-01-17,1,2,127,2808
2012-01-18,1,2,109,3267
2012-01-19,1,1,130,3162
2012-01-20,1,2,115,3048
2012-01-21,0,3,67,1234
2012-01-22,0,1,196,1781
2012-01-23,1,2,145,2287
2012-01-24,1,2,439,3900
2012-01-25,1,1,467,3803
2012-01-26,1,2,244,3831
2012-01-27,1,2,269,3187
2012-01-28,0,1,775,3248
2012-01-29,0,1,558,2685
2012-01-30,1,2,126,3498
2012-01-31,1,1,324,4185
2012-02-01,1,1,304,4275
2012-02-02,1,1,190,3571
2012-02-03,1,1,310,3841
2012-02-04,0,1,384,2448
2012-02-05,0,2,318,2629
2012-02-06,1,1,206,3578
2012-02-07,1,1,199,4176
2012-02-08,1,1,109,2693
2012-02-09,1,2,163,3667
2012-02-10,1,2,227,3604
2012-02-11,0,2,192,1977
2012-02-12,0,3,73,1456
2012-02-13,1,1,94,3328
2012-02-14,1,2,135,3787
2012-02-15,1,1,141,4028
2012-02-16,1,2,74,2931
2012-02-17,1,2,349,3805
2012-02-18,0,1,1435,2883
2012-02-19,0,2,618,2071
2012-02-20,0,2,502,2627
2012-02-21,1,1,163,3614
2012-02-22,1,1,394,4379
2012-02-23,1,2,516,4546
2012-02-24,1,2,246,3241
2012-02-25,0,1,317,2415
2012-02-26,0,1,515,2874
2012-02-27,1,1,253,4069
2012-02-28,1,1,229,4134
2012-02-29,1,1,65,1769
2012-03-01,1,2,325,4665
2012-03-02,1,1,246,2948
2012-03-03,0,3,956,3110
2012-03-04,0,2,710,2713
2012-03-05,1,1,203,3130
2012-03-06,1,1,221,3735
2012-03-07,1,1,432,4484
2012-03-08,1,1,486,4896
2012-03-09,1,2,447,4122
2012-03-10,0,1,968,3150
2012-03-11,0,1,1658,3253
2012-03-12,1,1,838,4460
2012-03-13,1,2,762,5085
2012-03-14,1,1,997,5315
2012-03-15,1,1,1005,5187
2012-03-16,1,1,548,3830
2012-03-17,0,2,3155,4681
2012-03-18,0,1,2207,3685
2012-03-19,1,1,982,5171
2012-03-20,1,2,1051,5042
2012-03-21,1,1,1122,5108
2012-03-22,1,1,1334,5537
2012-03-23,1,1,2469,5893
2012-03-24,0,1,1033,2339
2012-03-25,0,2,1532,3464
2012-03-26,1,2,795,4763
2012-03-27,1,1,531,4571
2012-03-28,1,1,674,5024
2012-03-29,1,1,834,5299
2012-03-30,1,1,796,4663
2012-03-31,0,1,2301,3934
2012-04-01,0,2,2347,3694
2012-04-02,1,3,1208,4728
2012-04-03,1,1,1348,5424
2012-04-04,1,1,1058,5378
2012-04-05,1,1,1192,5265
2012-04-06,1,1,1807,4653
2012-04-07,0,1,3252,3605
2012-04-08,0,1,2230,2939
2012-04-09,1,1,905,4680
2012-04-10,1,2,819,5099
2012-04-11,1,1,482,4380
2012-04-12,1,1,663,4746
2012-04-13,1,1,1252,5146
2012-04-14,0,1,2795,4665
2012-04-15,0,2,2846,4286
2012-04-16,0,1,1198,5172
2012-04-17,1,1,989,5702
2012-04-18,1,1,347,4020
2012-04-19,1,3,846,5719
2012-04-20,1,1,1340,5950
2012-04-21,0,1,2541,4083
2012-04-22,0,2,120,907
2012-04-23,1,3,195,3019
2012-04-24,1,2,518,5115
2012-04-25,1,1,655,5541
2012-04-26,1,2,475,4551
2012-04-27,1,1,1014,5219
2012-04-28,0,1,1120,3100
2012-04-29,0,3,2229,4075
2012-04-30,1,1,665,4907
2012-05-01,1,2,653,5087
2012-05-02,1,1,667,5502
2012-05-03,1,2,764,5657
2012-05-04,1,1,1069,5227
2012-05-05,0,1,2496,4387
2012-05-06,0,2,2135,4224
2012-05-07,1,2,1008,5265
2012-05-08,1,2,738,4990
2012-05-09,1,2,620,4097
2012-05-10,1,3,1026,5546
2012-05-11,1,1,1319,5711
2012-05-12,0,1,2622,4807
2012-05-13,0,1,2172,3946
2012-05-14,1,2,342,2501
2012-05-15,1,2,625,4490
2012-05-16,1,2,991,6433
2012-05-17,1,1,1242,6142
2012-05-18,1,1,1521,6118
2012-05-19,0,1,3410,4884
2012-05-20,0,1,2704,4425
2012-05-21,1,3,630,3729
2012-05-22,1,1,819,5254
2012-05-23,1,1,766,4494
2012-05-24,1,1,1059,5711
2012-05-25,1,1,1417,5317
2012-05-26,0,1,2855,3681
2012-05-27,0,2,3283,3308
2012-05-28,0,1,2557,3486
2012-05-29,1,1,880,4863
2012-05-30,1,3,745,6110
2012-05-31,1,1,1100,6238
2012-06-01,1,1,533,3594
2012-06-02,0,2,2795,5325
2012-06-03,0,1,2494,5147
2012-06-04,1,1,1071,5927
2012-06-05,1,1,968,6033
2012-06-06,1,1,1027,6028
2012-06-07,1,1,1038,6456
2012-06-08,1,1,1488,6248
2012-06-09,0,1,2708,4790
2012-06-10,0,1,2224,4374
2012-06-11,1,1,1017,5647
2012-06-12,1,2,477,4495
2012-06-13,1,2,1173,6248
2012-06-14,1,1,1180,6183
2012-06-15,1,1,1563,6102
2012-06-16,0,1,2963,4739
2012-06-17,0,1,2634,4344
2012-06-18,1,1,653,4446
2012-06-19,1,2,968,5857
2012-06-20,1,1,872,5339
2012-06-21,1,1,778,5127
2012-06-22,1,2,964,4859
2012-06-23,0,1,2657,4801
2012-06-24,0,1,2551,4340
2012-06-25,1,1,1139,5640
2012-06-26,1,1,1077,6365
2012-06-27,1,1,1077,6258
2012-06-28,1,1,921,5958
2012-06-29,1,1,829,4634
2012-06-30,0,3,1455,4232
2012-07-01,0,1,1421,4110
2012-07-02,1,2,904,5323
2012-07-03,1,1,1052,5608
2012-07-04,0,1,2562,4841
2012-07-05,1,1,1405,4836
2012-07-06,1,1,1366,4841
2012-07-07,0,1,1448,3392
2012-07-08,0,1,1203,3469
2012-07-09,1,2,998,5571
2012-07-10,1,1,954,5336
2012-07-11,1,2,975,6289
2012-07-12,1,2,1032,6414
2012-07-13,1,2,1511,5988
2012-07-14,0,2,2355,4614
2012-07-15,0,1,1920,4111
2012-07-16,1,3,1088,5742
2012-07-17,1,1,921,5865
2012-07-18,1,1,799,4914
2012-07-19,1,1,888,5703
2012-07-20,1,3,747,5123
2012-07-21,0,3,1264,3195
2012-07-22,0,2,2544,4866
2012-07-23,1,1,1135,5831
2012-07-24,1,1,1140,6452
2012-07-25,1,1,1383,6790
2012-07-26,1,1,1036,5825
2012-07-27,1,1,1259,5645
2012-07-28,0,1,2234,4451
2012-07-29,0,1,2153,4444
2012-07-30,1,1,1040,6065
2012-07-31,1,1,968,6248
2012-08-01,1,1,1074,6506
2012-08-02,1,1,983,6278
2012-08-03,1,1,1328,5847
2012-08-04,0,1,2345,4479
2012-08-05,0,1,1707,3757
2012-08-06,1,2,1233,5780
2012-08-07,1,1,1278,5995
2012-08-08,1,1,1263,6271
2012-08-09,1,1,1196,6090
2012-08-10,1,1,1065,4721
2012-08-11,0,1,2247,4052
2012-08-12,0,2,2182,4362
2012-08-13,1,1,1207,5676
2012-08-14,1,1,1128,5656
2012-08-15,1,1,1198,6149
2012-08-16,1,1,1338,6267
2012-08-17,1,1,1483,5665
2012-08-18,0,2,2827,5038
2012-08-19,0,1,1208,3341
2012-08-20,1,2,1026,5504
2012-08-21,1,2,1081,5925
2012-08-22,1,1,1094,6281
2012-08-23,1,1,1363,6402
2012-08-24,1,2,1325,6257
2012-08-25,0,2,1829,4224
2012-08-26,0,1,1483,3772
2012-08-27,1,1,989,5928
2012-08-28,1,1,935,6105
2012-08-29,1,1,1177,6520
2012-08-30,1,1,1172,6541
2012-08-31,1,1,1433,5917
2012-09-01,0,1,2352,3788
2012-09-02,0,2,2613,3197
2012-09-03,0,2,1965,4069
2012-09-04,1,2,867,5997
2012-09-05,1,1,832,6280
2012-09-06,1,2,611,5592
2012-09-07,1,1,1045,6459
2012-09-08,0,1,1557,4419
2012-09-09,0,2,2570,5657
2012-09-10,1,1,1118,6407
2012-09-11,1,1,1070,6697
2012-09-12,1,1,1050,6820
2012-09-13,1,1,1054,6750
2012-09-14,1,1,1379,6630
2012-09-15,0,1,3160,5554
2012-09-16,0,1,2166,5167
2012-09-17,1,1,1022,5847
2012-09-18,1,3,371,3702
2012-09-19,1,2,788,6803
2012-09-20,1,1,939,6781
2012-09-21,1,1,1250,6917
2012-09-22,0,1,2512,5883
2012-09-23,0,1,2454,5453
2012-09-24,1,1,1001,6435
2012-09-25,1,1,845,6693
2012-09-26,1,1,787,6946
2012-09-27,1,1,751,6642
2012-09-28,1,3,1045,6370
2012-09-29,0,1,2589,5966
2012-09-30,0,1,2015,4874
2012-10-01,1,1,763,6015
2012-10-02,1,2,315,4324
2012-10-03,1,3,728,6844
2012-10-04,1,3,891,6437
2012-10-05,1,1,1516,6640
2012-10-06,0,1,3031,4934
2012-10-07,0,1,781,2729
2012-10-08,0,1,874,4604
2012-10-09,1,2,601,5791
2012-10-10,1,2,780,6911
2012-10-11,1,1,834,6736
2012-10-12,1,1,1060,6222
2012-10-13,0,1,2252,4857
2012-10-14,0,1,2080,4559
2012-10-15,1,2,760,5115
2012-10-16,1,1,922,6612
2012-10-17,1,1,979,6482
2012-10-18,1,1,1008,6501
2012-10-19,1,2,753,4671
2012-10-20,0,1,2806,5284
2012-10-21,0,1,2132,4692
2012-10-22,1,1,830,6228
2012-10-23,1,1,841,6625
2012-10-24,1,1,795,6898
2012-10-25,1,2,875,6484
2012-10-26,1,2,1182,6262
2012-10-27,0,1,2643,5209
2012-10-28,0,3,998,3461
2012-10-29,1,3,2,20
2012-10-30,1,3,87,1009
2012-10-31,1,2,419,5147
2012-11-01,1,1,466,5520
2012-11-02,1,1,618,5229
2012-11-03,0,1,1029,4109
2012-11-04,0,1,1201,3906
2012-11-05,1,2,378,4881
2012-11-06,1,1,466,5220
2012-11-07,1,2,326,4709
2012-11-08,1,3,340,4975
2012-11-09,1,1,709,5283
2012-11-10,0,1,2090,4446
2012-11-11,0,1,2290,4562
2012-11-12,0,1,1097,5172
2012-11-13,1,2,327,3767
2012-11-14,1,1,373,5122
2012-11-15,1,2,320,5125
2012-11-16,1,2,484,5214
2012-11-17,0,1,1313,4316
2012-11-18,0,2,922,3747
2012-11-19,1,1,449,5050
2012-11-20,1,1,534,5100
2012-11-21,1,1,615,4531
2012-11-22,0,1,955,1470
2012-11-23,1,1,1603,2307
2012-11-24,0,1,532,1745
2012-11-25,0,1,309,2115
2012-11-26,1,1,337,4750
2012-11-27,1,2,123,3836
2012-11-28,1,2,198,5062
2012-11-29,1,1,243,5080
2012-11-30,1,1,362,5306
2012-12-01,0,1,951,4240
2012-12-02,0,2,892,3757
2012-12-03,1,2,555,5679
2012-12-04,1,1,551,6055
2012-12-05,1,1,331,5398
2012-12-06,1,1,340,5035
2012-12-07,1,1,349,4659
2012-12-08,0,2,1153,4429
2012-12-09,0,2,441,2787
2012-12-10,1,3,329,4841
2012-12-11,1,3,282,5219
2012-12-12,1,1,310,5009
2012-12-13,1,2,425,5107
2012-12-14,1,1,429,5182
2012-12-15,0,1,767,4280
2012-12-16,0,2,538,3248
2012-12-17,1,2,212,4373
2012-12-18,1,2,433,5124
2012-12-19,1,1,333,4934
2012-12-20,1,1,314,3814
2012-12-21,1,3,221,3402
2012-12-22,0,1,205,1544
2012-12-23,0,1,408,1379
2012-12-24,1,1,174,746
2012-12-25,0,3,440,573
2012-12-26,1,2,9,432
2012-12-27,1,3,247,1867
2012-12-28,1,2,644,2451
2012-12-29,0,2,159,1182
2012-12-30,0,2,364,1432
2012-12-31,1,1,439,2290
