applicant_id,annual_income,credit_history_years,late_payments,credit_utilization_pct,open_accounts
A112,49200,2.7,0,27,2
A113,38900,17.6,7,58,8
A114,72000,11.4,0,18,7
A115,55100,2.8,0,10,1
A116,72700,16.9,0,15,8
A117,95800,13.8,0,14,9
A118,45500,4.0,1,17,1
A119,60900,10.6,4,78,5
A120,102700,19.0,0,14,5
A121,30200,1.3,1,20,2
A122,72600,9.1,1,70,2
A123,35400,0.7,0,29,1
A124,128800,22.1,0,7,8
A125,62700,13.7,3,45,7
A126,64800,9.0,3,74,6
A127,103900,14.0,0,18,6
A128,28600,5.0,0,37,2
A129,72100,14.5,0,18,6
A130,54700,2.9,1,36,2
A131,34500,0.3,2,22,2
A132,96200,13.1,1,24,7
A133,57000,6.6,4,70,10
A134,32600,4.2,0,25,1
A135,27400,7.9,15,82,2
A136,44300,2.2,6,81,5
A137,82900,14.2,1,12,7
A138,43400,1.4,1,36,1
A139,37000,2.2,0,15,3
A140,69900,17.3,0,9,10
A141,87000,19.7,1,13,9
A142,59900,17.5,4,67,6
A143,96600,19.0,0,24,10
A144,83000,18.7,0,21,10
A145,74800,8.8,3,79,6
A146,43200,19.2,0,16,5
A147,43500,2.7,0,38,1
A148,85500,11.2,1,78,8
A149,41400,2.0,1,48,2
A150,47300,6.3,5,85,7
A151,25400,3.0,5,90,8
A152,51100,10.0,10,49,7
A153,56800,2.0,0,30,1
A154,44900,20.9,4,62,4
A155,30800,15.3,7,89,6
A156,108500,17.9,0,25,6
A157,96900,16.0,0,26,6
A158,26400,2.3,1,25,2
A159,35300,1.8,0,51,2
A160,107900,10.6,0,11,8
A161,39700,1.8,0,60,1
A162,43600,7.2,1,74,6
A163,24300,14.3,4,83,5
A164,35900,8.7,6,90,6
A165,65100,5.8,3,62,8
A166,33300,2.0,0,34,1
A167,43000,13.6,5,91,5
A168,25600,23.6,2,81,5
A169,23200,13.4,9,94,2
A170,107800,21.6,0,25,9
A171,23000,14.4,7,82,2
A172,51800,0.4,0,41,1
A173,55400,2.6,0,38,1
A174,38400,1.0,0,31,2
A175,56400,10.7,6,72,7
A176,46000,0.4,0,0,2
A177,69300,6.6,2,53,4
A178,73200,17.2,4,64,5
A179,35900,16.0,8,82,7
A180,62600,18.8,1,18,7
A181,59900,4.5,2,44,2
A182,93000,23.2,1,23,9
A183,88600,7.9,3,52,3
A184,42400,18.7,4,50,6
A185,45200,2.9,1,45,3
A186,72400,12.9,4,61,10
A187,46400,8.8,2,66,3
A188,56300,17.2,8,87,4
A189,37200,7.2,7,98,1
A190,95500,19.5,1,30,5
A191,48000,4.1,3,71,5
A192,26700,2.5,0,35,1
A193,23400,2.3,0,33,1
A194,89100,22.3,0,12,11
A195,70000,9.3,6,68,6
A196,28500,23.8,2,100,1
A197,93700,14.8,0,23,6
A198,35500,3.5,0,24,3
A199,61300,13.5,3,73,6
A200,82700,12.7,0,22,9
A201,31100,5.3,9,77,6
A202,92100,15.6,1,17,2
A203,26000,15.6,3,90,5
A204,33100,4.1,0,12,1
A205,108100,22.3,0,8,8
A206,36600,2.0,0,35,1
A207,28600,2.9,0,40,2
A208,36900,9.5,10,91,5
A209,32000,12.5,5,87,3
A210,69900,11.8,4,62,5
A211,29700,21.7,6,90,4
A212,97900,18.5,1,14,7
A213,32400,1.3,1,35,1
A214,105200,18.7,0,25,9
A215,82300,18.3,1,30,7
A216,45100,0.3,0,14,2
A217,66900,11.5,4,79,5
A218,45700,7.6,9,91,5
A219,65300,20.0,1,26,7
A220,45100,8.9,5,65,9
A221,83600,27.1,0,28,7
A222,12000,3.5,0,66,1
A223,69800,13.1,3,68,7
A224,32000,8.3,5,83,2
A225,44400,8.7,4,65,4
A226,92600,17.4,0,19,8
A227,34200,2.9,0,29,1
A228,96600,22.5,0,7,6
A229,70000,14.2,6,51,6
A230,50500,3.3,0,27,1
A231,39800,12.1,7,76,5
A232,92000,13.1,0,27,8
A233,65300,4.4,3,70,7
A234,34700,9.3,4,74,6
A235,92500,15.7,0,16,4
A236,48800,2.5,3,61,3
A237,85200,6.7,0,22,7
A238,58700,9.9,2,61,9
A239,67600,8.1,2,90,5
A240,70500,19.9,1,26,4
A241,91600,21.1,0,10,7
A242,73700,6.4,5,61,10
A243,71600,11.9,4,76,2
A244,43800,11.6,1,98,5
A245,56100,8.2,2,74,8
A246,110100,23.3,0,15,6
A247,67700,7.8,2,75,6
A248,28300,1.6,0,54,1
A249,47000,2.6,0,23,1
A250,97300,20.7,0,26,8
A251,33300,10.4,7,80,3
A252,60100,10.1,5,65,9
A253,67000,7.3,7,51,3
A254,44400,16.0,5,77,2
A255,48800,17.4,1,43,7
A256,40600,17.5,5,87,6
A257,34600,3.0,0,8,2
A258,58000,19.1,1,10,9
A259,27700,1.8,0,19,1
A260,95600,17.0,0,18,5
A261,102800,20.9,1,17,8
A262,58300,11.2,5,79,7
A263,88900,15.4,0,11,9
A264,85800,28.9,1,22,7
A265,75000,20.4,0,14,7
A266,68500,17.7,1,12,6
A267,108000,13.4,0,25,5
A268,27500,12.8,8,95,5
A269,130100,26.6,1,27,7
A270,50700,8.6,0,39,7
A271,71300,13.4,0,77,4
A272,45300,12.8,9,96,4
A273,46500,3.1,0,7,1
A274,42300,8.1,8,80,4
A275,34200,1.6,0,36,3
A276,106800,20.3,0,17,9
A277,115300,18.0,0,11,5
A278,102500,19.2,0,18,7
A279,51200,4.3,3,79,4
A280,80500,16.1,0,17,7
A281,38800,15.7,4,100,3
A282,37000,0.3,0,25,2
A283,62300,8.3,1,22,7
A284,97800,13.5,0,18,6
A285,63600,8.7,4,58,7
A286,33300,11.1,7,96,4
A287,33400,13.4,7,91,6
A288,13500,21.5,5,87,1
A289,37400,0.3,1,5,1
A290,42700,16.8,9,79,5
A291,29600,0.6,0,18,1
A292,86600,17.8,0,5,7
A293,45200,3.7,8,58,6
A294,61200,10.5,3,84,7
A295,76500,11.5,3,70,6
A296,25800,1.9,0,30,1
A297,25900,6.0,8,87,1
A298,77400,15.9,0,14,10
A299,47400,1.6,0,41,2
A300,62300,21.9,3,31,6
