object_id,city,county,region,development,locality,on_road,rural_urban,speed_limit,traffic_control,weather,workzone,bike_age,bike_age_group,bike_alcohol,bike_alcohol_drugs,bike_direction,bike_injury,bike_position,bike_race,bike_sex,driver_age,driver_age_group,driver_alcohol,driver_alcohol_drugs,driver_est_speed,driver_injury,driver_race,driver_sex,driver_vehicle_type,crash_alcohol,crash_date,crash_day,crash_group,crash_hour,crash_location,crash_month,crash_severity,crash_time,crash_type,crash_year,ambulance_req,hit_run,light_condition,road_character,road_class,road_condition,road_configuration,road_defects,road_feature,road_surface,num_lanes,geo_point
1807,Wilmington,New Hanover,Coastal,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,21,20-24,No,NA,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Female,20,20-24,No,NA,6-10 mph,O: No Injury,White,Female,Passenger Car,No,09FEB2012,Thursday,Bicyclist Failed to Yield - Signalized Intersection,12,Intersection,February,C: Possible Injury,12:21:00,Bicyclist Ride Through - Signalized Intersection,2012,No,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,3 lanes,"34.2347667684, -77.8694022982"
1816,Asheville,Buncombe,Mountains,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,No Control Present,Cloudy,No,34,30-39,Yes,NA,With Traffic,C: Possible Injury,Travel Lane,White,Female,24,20-24,No,NA,6-10 mph,O: No Injury,White,Male,Police,Yes,22FEB2012,Wednesday,Motorist Failed to Yield - Sign-Controlled Intersection,22,Intersection,February,C: Possible Injury,22:18:00,Motorist Drive Out - Sign-Controlled Intersection,2012,No,No,Dark - Lighted Roadway,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"35.5988768966, -82.5615037722"
1835,Stanley,Gaston,Piedmont,Commercial,Mixed (30% To 70% Developed),NA,Rural,30 - 35  MPH,Stop And Go Signal,Clear,No,69,60-69,No,NA,NA,Unknown Injury,Sidewalk / Crosswalk / Driveway Crossing,Unknown/Missing,NA,NA,NA,No,NA,11-15 mph,Unknown Injury,Unknown/Missing,NA,Tractor/Semi-Trailer,No,07JAN2012,Saturday,Other / Unknown - Insufficient Details,12,Intersection,January,Unknown Injury,12:15:00,Unknown Approach Paths,2012,No,Yes,Daylight,Straight - Grade,NC Route,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,2 lanes,"35.3533669002, -81.0904033227"
1825,Wilmington,New Hanover,Coastal,Residential,Urban (>70% Developed),NA,Urban,20 - 25  MPH,Stop Sign,Clear,No,24,20-24,No,NA,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,48,40-49,No,NA,0-5 mph,O: No Injury,Black,Female,Passenger Car,No,15FEB2012,Wednesday,Crossing Paths - Other Circumstances,13,Intersection,February,C: Possible Injury,13:00:00,Sign-Controlled Intersection - Other / Unknown,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"One-Way, Not Divided",None,No Special Feature,Smooth Asphalt,4 lanes,"34.2320167658, -77.9271023164"
1823,Greensboro,Guilford,Piedmont,Commercial,Urban (>70% Developed),NA,Urban,NA,No Control Present,Clear,No,40,40-49,No,NA,Facing Traffic,B: Evident Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,21,20-24,No,NA,0-5 mph,O: No Injury,Black,Female,Passenger Car,No,02FEB2012,Thursday,Motorist Failed to Yield - Midblock,22,Non-Intersection,February,B: Evident Injury,22:16:00,Motorist Drive Out - Commercial Driveway / Alley,2012,Yes,No,Daylight,Straight - Level,Public Vehicular Area,Dry,NA,None,"Driveway, Public",Smooth Asphalt,NA,"36.0957971045, -79.817202982"
1809,Smithfield,Johnston,Coastal,Commercial,Urban (>70% Developed),NA,Urban,NA,No Control Present,Clear,No,20,20-24,No,NA,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,23,20-24,No,NA,NA,O: No Injury,White,Male,Passenger Car,No,13FEB2012,Monday,Loss of Control / Turning Error,17,Non-Intersection,February,C: Possible Injury,17:56:00,Bicyclist Lost Control - Mechanical Problems,2012,Yes,No,Daylight,Straight - Level,US Route,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Coarse Asphalt,5 lanes,"35.5175970346, -78.3200024985"
1840,Boone,Watauga,Mountains,Commercial,Urban (>70% Developed),NA,Urban,20 - 25  MPH,"Double Yellow Line, No Passing Zone",Clear,No,18,16-19,No,NA,With Traffic,C: Possible Injury,Travel Lane,White,Male,51,50-59,No,NA,16-20 mph,O: No Injury,White,Female,Passenger Car,No,01MAR2012,Thursday,Bicyclist Overtaking Motorist,16,Non-Intersection,March,C: Possible Injury,16:20:00,Bicyclist Overtaking - Other / Unknown,2012,No,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"36.1988570563, -81.6695035428"
1818,Mooresville,Iredell,Piedmont,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,No Control Present,Clear,No,49,40-49,No,NA,With Traffic,C: Possible Injury,Other,Black,Male,70+,70+,No,NA,26-30 mph,O: No Injury,White,Male,Passenger Car,No,03FEB2012,Friday,Motorist Overtaking Bicyclist,17,Non-Intersection,February,C: Possible Injury,17:36:00,Motorist Overtaking - Bicyclist Swerved,2012,No,No,Daylight,Straight - Grade,NC Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"35.5963469616, -80.8080032521"
2439,None - Rural Crash,Swain,Mountains,"Farms, Woods, Pastures",Rural (<30% Developed),NA,Rural,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,56,50-59,No,NA,With Traffic,B: Evident Injury,Bike Lane / Paved Shoulder,White,Male,70+,70+,No,NA,36-40 mph,O: No Injury,White,Male,Sport Utility,No,20SEP2012,Thursday,Bicyclist Left Turn / Merge,14,Intersection-Related,September,B: Evident Injury,14:37:00,Bicyclist Left Turn - Same Direction,2012,Yes,No,Daylight,Straight - Grade,US Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"35.2851367875, -83.6701040798"
2456,Raleigh,Wake,Piedmont,Residential,Urban (>70% Developed),NA,Urban,40 - 45  MPH,No Control Present,Clear,No,14,11-15,No,NA,Facing Traffic,O: No Injury,Bike Lane / Paved Shoulder,Black,Male,NA,NA,Missing,NA,6-10 mph,Unknown Injury,Unknown/Missing,NA,Passenger Car,No,26SEP2012,Wednesday,Bicyclist Right Turn / Merge,10,Non-Intersection,September,O: No Injury,10:15:00,Bicyclist Right Turn - Opposite Direction,2012,No,Yes,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"35.919667106, -78.7379026463"
2453,Raleigh,Wake,Piedmont,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,26,25-29,No,NA,With Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,26,25-29,No,NA,31-35 mph,O: No Injury,White,Male,Passenger Car,No,20SEP2012,Thursday,Motorist Failed to Yield - Signalized Intersection,9,Intersection,September,C: Possible Injury,09:00:00,Motorist Drive Out - Signalized Intersection,2012,No,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Concrete,2 lanes,"35.7690570754, -78.6912026243"
2427,None - Rural Crash,Harnett,Coastal,"Farms, Woods, Pastures",Mixed (30% To 70% Developed),NA,Rural,50 - 55  MPH,No Control Present,Clear,No,61,60-69,No,NA,With Traffic,K: Killed,Travel Lane,Black,Male,22,20-24,No,NA,46-50 mph,O: No Injury,White,Male,Pickup,No,10SEP2012,Monday,Bicyclist Left Turn / Merge,20,Non-Intersection,September,K: Killed,20:24:00,Bicyclist Left Turn - Same Direction,2012,Yes,Yes,Dark - Roadway Not Lighted,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"35.3249869844, -78.567702564"
2429,Smithfield,Johnston,Coastal,Commercial,Urban (>70% Developed),NA,Urban,40 - 45  MPH,No Control Present,Clear,No,54,50-59,No,NA,With Traffic,C: Possible Injury,Bike Lane / Paved Shoulder,Black,Male,65,60-69,No,NA,6-10 mph,O: No Injury,White,Male,Sport Utility,No,12SEP2012,Wednesday,Motorist Left Turn / Merge,11,Non-Intersection,September,C: Possible Injury,11:58:00,Motorist Left Turn - Same Direction,2012,Yes,No,Daylight,Straight - Level,US Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,3 lanes,"35.4944770281, -78.3563025086"
2452,Durham,Durham,Piedmont,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,No Control Present,Clear,No,9,6-10,No,NA,Not Applicable,C: Possible Injury,Non-Roadway,Black,Male,23,20-24,No,NA,21-25 mph,O: No Injury,Black,Male,Passenger Car,No,25SEP2012,Tuesday,Bicyclist Failed to Yield - Midblock,18,Non-Intersection,September,C: Possible Injury,18:53:00,Bicyclist Ride Out - Other Midblock,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,2 lanes,"35.9935571162, -78.8876026957"
2451,Raleigh,Wake,Piedmont,Institutional,Urban (>70% Developed),NA,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,36,30-39,No,NA,With Traffic,O: No Injury,Travel Lane,White,Female,21,20-24,No,NA,16-20 mph,O: No Injury,White,Male,Passenger Car,No,24SEP2012,Monday,Motorist Left Turn / Merge,8,Intersection,September,O: No Injury,08:22:00,Motorist Left Turn - Opposite Direction,2012,No,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Smooth Asphalt,8 lanes,"35.7888870802, -78.6732026193"
2422,Fairmont,Robeson,Coastal,Residential,Mixed (30% To 70% Developed),NA,Rural,30 - 35  MPH,No Control Present,Cloudy,No,15,11-15,No,NA,With Traffic,B: Evident Injury,Travel Lane,Black,Male,52,50-59,No,NA,31-35 mph,O: No Injury,Black,Male,Van,No,06AUG2012,Monday,Bicyclist Left Turn / Merge,17,Non-Intersection,August,B: Evident Injury,17:34:00,Bicyclist Left Turn - Same Direction,2012,Yes,No,Daylight,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",Road Surface Condition,No Special Feature,Gravel,2 lanes,"34.4978467856, -79.1049026833"
2447,Raleigh,Wake,Piedmont,Commercial,Urban (>70% Developed),NA,Urban,30 - 35  MPH,No Control Present,Clear,No,29,25-29,No,NA,Facing Traffic,B: Evident Injury,Travel Lane,White,Female,44,40-49,No,NA,6-10 mph,O: No Injury,Other,Male,Taxicab,No,21SEP2012,Friday,Motorist Left Turn / Merge,6,Non-Intersection,September,B: Evident Injury,06:19:00,Motorist Left Turn - Opposite Direction,2012,Yes,No,Dusk,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,5 lanes,"35.7883070809, -78.6418026107"
2441,Durham,Durham,Piedmont,Commercial,Urban (>70% Developed),NA,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,28,25-29,No,NA,With Traffic,C: Possible Injury,Travel Lane,White,Female,49,40-49,No,NA,6-10 mph,O: No Injury,Black,Female,Passenger Car,No,23SEP2012,Sunday,Motorist Left Turn / Merge,9,Intersection,September,C: Possible Injury,09:43:00,Motorist Left Turn - Opposite Direction,2012,Yes,No,Daylight,Curve - Grade,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,2 lanes,"35.9915271145, -78.9406027117"
2483,None - Rural Crash,Rutherford,Mountains,"Farms, Woods, Pastures",Rural (<30% Developed),NA,Rural,60 - 75 MPH,No Control Present,Rain,No,24,20-24,No,NA,With Traffic,B: Evident Injury,Bike Lane / Paved Shoulder,White,Male,37,30-39,No,NA,56-60 mph,O: No Injury,White,Male,Tractor/Semi-Trailer,No,01OCT2012,Monday,Motorist Overtaking Bicyclist,11,Non-Intersection,October,B: Evident Injury,11:47:00,Motorist Overtaking - Other / Unknown,2012,Yes,No,Daylight,Straight - Level,US Route,Wet,"Two-Way, Divided, Positive Median Barrier",None,No Special Feature,Coarse Asphalt,4 lanes,"35.3095068589, -81.9457035735"
2480,Gastonia,Gaston,Piedmont,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,18,16-19,No,NA,With Traffic,C: Possible Injury,Travel Lane,White,Male,29,25-29,No,NA,31-35 mph,O: No Injury,Black,Male,Passenger Car,No,15SEP2012,Saturday,Bicyclist Failed to Yield - Sign-Controlled Intersection,13,Intersection,September,C: Possible Injury,13:02:00,Bicyclist Ride Through - Sign-Controlled Intersection,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Smooth Asphalt,3 lanes,"35.2551268748, -81.2081033521"
2479,Wilson,Wilson,Coastal,Residential,Urban (>70% Developed),NA,Urban,40 - 45  MPH,No Control Present,Clear,No,34,30-39,No,NA,With Traffic,B: Evident Injury,Travel Lane,Black,Male,NA,NA,No,NA,26-30 mph,Unknown Injury,Unknown/Missing,NA,NA,No,30AUG2012,Thursday,Motorist Overtaking Bicyclist,23,Non-Intersection,August,B: Evident Injury,23:25:00,Motorist Overtaking - Other / Unknown,2012,Yes,Yes,Dark - Lighted Roadway,Curve - Grade,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Coarse Asphalt,2 lanes,"35.7115770906, -77.899102381"
2467,Wilson,Wilson,Coastal,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,Stop Sign,Clear,No,14,11-15,No,NA,Facing Traffic,C: Possible Injury,Travel Lane,Black,Male,47,40-49,No,NA,21-25 mph,O: No Injury,Black,Female,Passenger Car,No,11SEP2012,Tuesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,16,Intersection,September,C: Possible Injury,16:11:00,Bicyclist Ride Through - Sign-Controlled Intersection,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"35.7198370921, -77.8980023807"
2496,Apex,Wake,Piedmont,"Farms, Woods, Pastures",Rural (<30% Developed),NA,Urban,40 - 45  MPH,No Control Present,Cloudy,No,46,40-49,No,NA,With Traffic,C: Possible Injury,Travel Lane,White,Male,NA,NA,Missing,NA,31-35 mph,Unknown Injury,Unknown/Missing,NA,Passenger Car,No,07OCT2012,Sunday,Motorist Overtaking Bicyclist,13,Non-Intersection,October,C: Possible Injury,13:15:00,Motorist Overtaking - Other / Unknown,2012,No,Yes,Daylight,Straight - Level,Local Street,Wet,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"35.7579770658, -78.886402683"
2469,Sanford,Lee,Piedmont,Residential,Urban (>70% Developed),NA,Urban,30 - 35  MPH,No Control Present,Clear,No,9,6-10,No,NA,Facing Traffic,C: Possible Injury,Travel Lane,White,Male,35,30-39,No,NA,31-35 mph,O: No Injury,Black,Female,Sport Utility,No,14SEP2012,Friday,Crossing Paths - Other Circumstances,19,Intersection,September,C: Possible Injury,19:41:00,Sign-Controlled Intersection - Other / Unknown,2012,Yes,No,Dark - Lighted Roadway,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,4 lanes,"35.4775469962, -79.1705027539"
2487,Enfield,Halifax,Coastal,Residential,Mixed (30% To 70% Developed),NA,Rural,5 - 15 MPH,No Control Present,Clear,No,15,11-15,No,NA,Not Applicable,C: Possible Injury,Non-Roadway,Black,Female,27,25-29,No,NA,6-10 mph,O: No Injury,Black,Female,Sport Utility,No,09SEP2012,Sunday,Crossing Paths - Other Circumstances,17,Intersection,September,C: Possible Injury,17:01:00,Crossing Paths - Uncontrolled Intersection,2012,No,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Related To Intersection,Smooth Asphalt,2 lanes,"36.1781371988, -77.6575023319"
2468,Greenville,Pitt,Coastal,Commercial,Urban (>70% Developed),NA,Urban,40 - 45  MPH,No Control Present,Clear,No,56,50-59,No,NA,NA,C: Possible Injury,Travel Lane,Black,Male,17,0-19,No,NA,31-35 mph,O: No Injury,White,Female,Passenger Car,No,30SEP2012,Sunday,Bicyclist Failed to Yield - Midblock,14,Non-Intersection,September,C: Possible Injury,14:48:00,Multiple Threat - Midblock,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,No Special Feature,Coarse Asphalt,6 lanes,"35.5779070793, -77.3808022164"
2466,Durham,Durham,Piedmont,Commercial,Urban (>70% Developed),NA,Urban,5 - 15 MPH,No Control Present,Clear,No,58,50-59,Yes,NA,Not Applicable,B: Evident Injury,Non-Roadway,Black,Male,NA,NA,Missing,NA,0-5 mph,Unknown Injury,Unknown/Missing,NA,Passenger Car,Yes,30SEP2012,Sunday,Non-Roadway,16,Non-Roadway,September,B: Evident Injury,16:05:00,Non-Roadway,2012,Yes,Yes,Daylight,Straight - Level,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,2 lanes,"35.9903871139, -78.9280027075"
2501,Greensboro,Guilford,Piedmont,Institutional,Urban (>70% Developed),NA,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,25,25-29,No,NA,With Traffic,B: Evident Injury,Travel Lane,White,Male,20,20-24,No,NA,11-15 mph,O: No Injury,Black,Female,Passenger Car,No,02OCT2012,Tuesday,Bicyclist Failed to Yield - Signalized Intersection,19,Intersection,October,B: Evident Injury,19:56:00,Bicyclist Ride Through - Signalized Intersection,2012,Yes,No,Dark - Lighted Roadway,Straight - Level,Local Street,Dry,"Two-Way, Divided, Positive Median Barrier",None,Four-Way Intersection,Smooth Asphalt,2 lanes,"36.0653370983, -79.8127029788"
2538,Cary,Wake,Piedmont,Residential,Urban (>70% Developed),NA,Urban,20 - 25  MPH,Stop Sign,Clear,No,21,20-24,No,NA,Facing Traffic,B: Evident Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Female,28,25-29,No,NA,0-5 mph,O: No Injury,White,Female,Passenger Car,No,06OCT2012,Saturday,Motorist Failed to Yield - Sign-Controlled Intersection,15,Intersection,October,B: Evident Injury,15:45:00,Motorist Drive Out - Sign-Controlled Intersection,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,Related To Intersection,Smooth Asphalt,2 lanes,"35.7916170757, -78.8230026655"
2514,Greenville,Pitt,Coastal,Commercial,Urban (>70% Developed),NA,Urban,20 - 25  MPH,Stop Sign,Clear,No,21,20-24,No,NA,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Female,22,20-24,No,NA,0-5 mph,Unknown Injury,Hispanic,Female,Van,No,12OCT2012,Friday,Motorist Failed to Yield - Sign-Controlled Intersection,16,Intersection,October,C: Possible Injury,16:54:00,Motorist Drive Out - Sign-Controlled Intersection,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Coarse Asphalt,2 lanes,"35.6127670869, -77.3758022158"
2526,Raleigh,Wake,Piedmont,Residential,Urban (>70% Developed),NA,Urban,20 - 25  MPH,No Control Present,Clear,No,37,30-39,No,NA,With Traffic,C: Possible Injury,Travel Lane,Asian,Male,26,25-29,No,NA,6-10 mph,C: Possible Injury,Asian,Female,Passenger Car,No,13OCT2012,Saturday,Motorist Left Turn / Merge,17,Intersection,October,C: Possible Injury,17:04:00,Motorist Left Turn - Opposite Direction,2012,Yes,No,Daylight,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,"Driveway, Public",Smooth Asphalt,2 lanes,"35.9195371056, -78.7353026453"
2527,Goldsboro,Wayne,Coastal,Residential,Urban (>70% Developed),NA,Urban,40 - 45  MPH,No Control Present,Clear,No,35,30-39,Yes,NA,With Traffic,C: Possible Injury,Travel Lane,White,Male,47,40-49,No,NA,31-35 mph,O: No Injury,Black,Male,Passenger Car,Yes,06OCT2012,Saturday,Motorist Overtaking Bicyclist,1,Intersection,October,C: Possible Injury,01:15:00,Motorist Overtaking - Bicyclist Swerved,2012,Yes,No,Dark - Lighted Roadway,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,T-Intersection,Coarse Asphalt,5 lanes,"35.3843870188, -77.9266023719"
